Timestamp,Entry_Price,Signal,Exit_Price,Profit_USDT,Capital_After,Leverage,Total_Loss
2025-03-16 21:12:10,82821.011273,LONG,82805.57,-0.593774570389942,999.40622542961,15,-0.593774570389942
2025-03-16 21:12:10,82821.011273,LONG,82805.57,-0.593774570389942,999.40622542961,15,-1.0255067851381197
2025-03-16 21:12:19,82794.81969,SHORT_PARTIAL_75%,82798.53,-0.3422227431170449,999.0640026864929,15,-1.0255067851381197
2025-03-16 21:12:22,82794.81969,SHORT_PARTIAL_75%,82776.68,-0.07057569454388135,998.993426991949,15,-1.0255067851381197
2025-03-16 21:12:24,82794.81969,SHORT_PARTIAL_75%,82776.68,-0.028230277817552545,998.9651967141315,15,-1.0255067851381197
2025-03-16 21:12:26,82794.81969,SHORT_PARTIAL_75%,82746.33,0.0034455494462184294,998.9686422635777,15,-1.0255067851381197
2025-03-16 21:12:27,82794.81969,SHORT_PARTIAL_75%,82738.85,0.0028311054600399614,998.9714733690378,15,-1.0255067851381197
2025-03-16 21:12:30,82794.81969,SHORT_PARTIAL_75%,82738.85,0.0011324421840159843,998.9726058112218,15,-1.0255067851381197
2025-03-16 21:12:31,82794.81969,SHORT,82738.85,0.0018874036400266412,998.9744932148618,15,-1.0255067851381197
2025-03-16 21:12:10,82821.011273,LONG,82805.57,-0.593774570389942,999.40622542961,15,-2.4033398338701946
2025-03-16 21:12:19,82794.81969,SHORT_PARTIAL_75%,82798.53,-0.3422227431170449,999.0640026864929,15,-2.4033398338701946
2025-03-16 21:12:22,82794.81969,SHORT_PARTIAL_75%,82776.68,-0.07057569454388135,998.993426991949,15,-2.4033398338701946
2025-03-16 21:12:24,82794.81969,SHORT_PARTIAL_75%,82776.68,-0.028230277817552545,998.9651967141315,15,-2.4033398338701946
2025-03-16 21:12:26,82794.81969,SHORT_PARTIAL_75%,82746.33,0.0034455494462184294,998.9686422635777,15,-2.4033398338701946
2025-03-16 21:12:27,82794.81969,SHORT_PARTIAL_75%,82738.85,0.0028311054600399614,998.9714733690378,15,-2.4033398338701946
2025-03-16 21:12:30,82794.81969,SHORT_PARTIAL_75%,82738.85,0.0011324421840159843,998.9726058112218,15,-2.4033398338701946
2025-03-16 21:12:31,82794.81969,SHORT,82738.85,0.0018874036400266412,998.9744932148618,15,-2.4033398338701946
2025-03-16 21:12:40,82719.007272,SHORT_PARTIAL_75%,82742.81,-0.5166873932745282,998.4578058215873,15,-2.4033398338701946
2025-03-16 21:12:41,82719.007272,SHORT,82742.81,-0.8611456554575467,997.5966601661297,15,-2.4033398338701946
